AddressID;AddressLine1;AddressLine2;City;StateProvinceID;PostalCode;SpatialLocation;rowguid;ModifiedDate
17;6696 Anchor Drive;;Bothell;79;98011;POINT (-122.250185528911 47.7344632694949);{CE9B3B47-9267-4727-BCD2-687C47482C06};2013-11-08 00:00:00
18;1873 Lion Circle;;Bothell;79;98011;POINT (-122.0668835714 47.7822168341902);{963854F7-E3CB-46A1-A3DB-1B05F71D6473};2013-11-30 00:00:00
19;3148 Rose Street;;Bothell;79;98011;POINT (-122.347946572916 47.7392386259644);{6B7ACB0F-CDBF-44FD-BA14-EB08A56C1582};2014-04-03 00:00:00
20;6872 Thornwood Dr.;;Bothell;79;98011;POINT (-122.140204354405 47.7344632694949);{4B1F1ED4-97A4-43FD-BB1E-9E05817718E8};2009-02-05 00:00:00
21;5747 Shirley Drive;;Bothell;79;98011;POINT (-122.030223179898 47.7153618436167);{D83299D7-A0F4-4055-9BD5-5908E245D757};2009-02-11 00:00:00
22;636 Vine Hill Way;;Portland;58;97205;POINT (-122.6223011785 45.5241741562999);{7F641525-2704-4F73-9D8A-EB062CFBFA3C};2011-05-24 00:00:00
23;6657 Sand Pointe Lane;;Seattle;79;98104;POINT (-122.373607213 47.7295638308999);{B991568F-5096-4A92-B25C-1A3E4D2ACC66};2009-01-15 00:00:00
24;80 Sunview Terrace;;Duluth;36;55802;POINT (-92.0734750944588 46.8033901799154);{BE07D3C8-6E58-4670-9DA9-151AB6D3D620};2011-05-24 00:00:00
25;9178 Jumping St.;;Dallas;73;75201;POINT (-96.7718703803229 32.7698003131228);{C8DF3BD9-48F0-4654-A8DD-14A67A84D3C6};2012-07-31 00:00:00
26;5725 Glaze Drive;;San Francisco;9;94109;POINT (-122.40848959101599 37.7605893030868);{77415959-A4EE-4DA6-86F9-70C097560005};2011-05-24 00:00:00
27;2487 Riverside Drive;;Nevada;74;84407;POINT (-111.911600969772 41.252325627917);{C1D0F3B0-6B2A-4388-8861-48F44D8270A1};2011-05-24 00:00:00
28;9228 Via Del Sol;;Phoenix;6;85004;POINT (-112.218924565813 33.6607829141045);{12AE5EE1-FC3E-468B-9B92-3B970B169774};2011-08-01 00:00:00
29;8291 Crossbow Way;;Memphis;72;38103;POINT (-90.1599537213446 35.1727653015068);{7CC794AD-1822-412B-AB94-337A89A1D0C9};2011-05-24 00:00:00
30;9707 Coldwater Drive;;Orlando;15;32804;POINT (-81.2829863937824 28.6211149133174);{7431591F-36C1-4A65-B722-0E006DB73557};2011-07-01 00:00:00
31;9100 Sheppard Avenue North;;Ottawa;57;K4B 1T7;POINT (-75.3508830623448 45.3125878635219);{644DEA26-E6FD-4019-85E6-35364DDAB0CC};2011-05-24 00:00:00
32;26910 Indela Road;;Montreal;63;H1Y 2H5;POINT (-73.5165236062996 45.5805443515186);{84A95F62-3AE8-4E7E-BBD5-5A6F00CD982D};2012-06-30 00:00:00
33;10203 Acorn Avenue;;Calgary;1;T2P 2G8;POINT (-113.898549012264 51.1109369978998);{237986D3-0F02-4D59-9B2E-6B1A6B5A6185};2011-05-24 00:00:00
34;94, rue Descartes;;Bordeaux;119;33000;POINT (-0.603646308441153 44.7712652294906);{57F25EED-0F07-43BA-83B4-5A4B398F4BF2};2013-12-21 10:09:29.423000000
35;Pascalstr 951;;Berlin;20;14111;POINT (13.3049245235559 52.5636311781364);{2985CF68-8155-45A3-B086-7B08BD4D46EF};2013-05-23 00:00:00
36;34 Waterloo Road;;Melbourne;77;3000;POINT (144.963347548082 -37.8013859734803);{18E590A6-A500-48B5-B092-9E0B59816436};2013-05-23 00:00:00
37;Downshire Way;;Cambridge;14;BA5 3HX;POINT (-2.62062559024121 51.1910466921672);{7F80F9CE-50F1-404B-8C18-7C95EE35A6EE};2012-05-23 00:00:00
38;8154 Via Mexico;;Detroit;35;48226;POINT (-83.1483930525338 42.3790058201889);{BD54F2AD-157A-4491-9F05-CC1D5A492CF1};2011-05-24 00:00:00
39;3997 Via De Luna;;Cambridge;30;02139;POINT (-71.1803518396733 42.3429876747895);{A5A9AC6D-5488-4A15-A932-F6FA651093F7};2012-09-23 00:00:00
40;1902 Santa Cruz;;Bothell;79;98011;POINT (-122.225745267909 47.7678907647816);{5A0C5C47-18BE-420B-89BA-D39878160D80};2010-02-01 00:00:00
41;793 Crawford Street;;Kenmore;79;98028;POINT (-122.168162595862 47.8146506001321);{58F28FFB-BE74-47F9-AEC0-D5771026ED8F};2014-03-25 00:00:00
42;463 H Stagecoach Rd.;;Kenmore;79;98028;POINT (-122.107041842112 47.7573417899841);{782C540D-3EAD-4D15-B170-E60616CF125B};2009-01-20 00:00:00
43;5203 Virginia Lane;;Kenmore;79;98028;POINT (-122.143714294362 47.7477903216261);{E210A601-42B9-4313-979D-4BCCA6144343};2010-02-13 00:00:00
44;4095 Cooper Dr.;;Kenmore;79;98028;POINT (-122.327076555612 47.7668932583421);{E6A218AE-516C-4CD6-A0A9-105FCD46994B};2008-12-27 00:00:00
45;6697 Ridge Park Drive;;Kenmore;79;98028;POINT (-122.327076555612 47.6904815114781);{95A73034-BD61-4349-B337-02D647C88CDD};2008-11-25 00:00:00
46;5669 Ironwood Way;;Kenmore;79;98028;POINT (-122.241507500362 47.8194263343111);{8FD29F31-EB25-4EC7-9258-FEF7160119C0};2009-01-29 00:00:00
47;8192 Seagull Court;;Kenmore;79;98028;POINT (-122.192610897362 47.7955476634161);{3DE1BDE3-FF37-4992-B50E-E12D5E247132};2009-01-11 00:00:00
48;5553 Cash Avenue;;Kenmore;79;98028;POINT (-122.229283349612 47.6952572456571);{1875165E-D9E4-414F-8FCB-6A8720625443};2014-01-31 00:00:00
49;7048 Laurel;;Kenmore;79;98028;POINT (-122.241507500362 47.7573417899841);{C172E367-E6E6-4200-8865-12902022B891};2009-02-01 00:00:00
50;25 95th Ave NE;;Kenmore;79;98028;POINT (-122.351524857112 47.7859961950581);{8AD42881-A81B-4A4D-95C2-6D34A55F3BC9};2009-02-06 00:00:00
